"","c100_4","c100_4_pooled","c100_4_pooled_supp","c150_4","c150_4_pooled_supp","c150_4_aian","c150_4_aianold","c150_4_asian","c150_4_api","c150_4_black","c150_4_blacknh","c150_4_hisp","c150_4_hispold","c150_4_nhpi","c150_4_nra","c150_4_2mor","c150_4_unkn","c150_4_white","c150_4_whitenh","c150_4_pooled","c200_4_pooled_supp","c100_l4","c100_l4_pooled","c100_l4_pooled_supp","c150_l4","c150_l4_pooled_supp","c150_l4_aian","c150_l4_aianold","c150_l4_asian","c150_l4_api","c150_l4_blacknh","c150_l4_black","c150_l4_hisp","c150_l4_hispold","c150_l4_nhpi","c150_l4_nra","c150_l4_2mor","c150_l4_unkn","c150_l4_whitenh","c150_l4_white","c150_l4_pooled","c200_l4","c200_l4_pooled","c200_l4_pooled_supp","c150_4_loannopell","c150_l4_loannopell","c150_4_pell","c150_l4_pell","c150_4_noloannopell","c150_l4_noloannopell","year"
"175",NA,NA,NA,0.4164,0.405,0,NA,0.3333,NA,0.1892,NA,0.4301,NA,1,NA,0.2,0.1429,0.4725,NA,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3287,NA,0.5841,NA,"latest"
"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064,0.0791,0.0791,0.472,0.5084,NA,NA,0.3636,NA,NA,0.493,0.4211,NA,0.3333,NA,0.6667,NA,NA,0.4902,0.5084,0.6707,0.6194,0.6194,NA,NA,NA,0.6475,NA,0.3047,"latest"
"177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1412,0.3004,0.3004,0.4471,0.5494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5494,0.7162,0.8125,0.8125,NA,NA,NA,0.5067,NA,0,"latest"
"178",0.4194,0.4643,0.4643,0.5641,0.6028,NA,NA,1,NA,0.4286,NA,NA,NA,NA,1,1,NA,0.5517,NA,0.6028,0.6829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,NA,0.6,NA,0.619,NA,"latest"
"179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5909,0.4063,0.4063,0.6061,0.6686,NA,NA,NA,NA,NA,0.4,0.5729,NA,NA,NA,NA,0.6,NA,0.7692,0.6686,0.707,0.7147,0.7147,NA,NA,NA,0,NA,0.6202,"latest"
"182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1429,0.3077,0.3077,0.1429,0.3077,NA,NA,NA,NA,NA,0,0.4,NA,NA,NA,NA,NA,NA,0,0.3077,0.2,0.4,NA,NA,NA,NA,0.1667,NA,0,"latest"
"183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.353,0.353,0.68,0.8235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8235,0.9615,0.8936,0.8936,NA,0.8,NA,0.6429,NA,0.6667,"latest"
"184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
